AFR_T,LFR_T,BFR_T,D5_T,D10_T,D50_T,D90_T,AFR_V1,LFR_V1,BFR_V1,D5_V1,D10_V1,D50_V1,D90_V1,AFR_V2,LFR_V2,BFR_V2,D5_V2,D10_V2,D50_V2,D90_V2,AFR_V3,LFR_V3,BFR_V3,D5_V3,D10_V3,D50_V3,D90_V3
4.3804226,19.7119,6.570634,8.749153,12.7307005,50.54956,768.9148,3.285317,13.141268,3.285317,8.450179,11.812577,45.31312,747.42126,3.285317,15.33148,6.570634,9.071078,13.70857,57.58239,783.383,4.927975,19.7119,2.1902113,8.047389,10.570431,38.48691,670.85706
4.391259,19.760666,6.5868883,8.748626,12.729088,50.53918,768.8848,3.2934442,13.173777,3.2934442,8.449811,11.811441,45.30701,747.3855,3.2934442,15.369406,6.5868883,9.070364,13.706411,57.564636,783.3571,4.9401665,19.760666,2.1956296,8.047223,10.569933,38.484035,670.78436
4.3978086,19.79014,6.5967135,8.748078,12.727414,50.5284,768.85364,3.2983568,13.193426,3.2983568,8.449429,11.81026,45.30065,747.34814,3.2983568,15.392331,6.5967135,9.069625,13.704179,57.54628,783.3303,4.9475346,19.79014,2.1989043,8.047051,10.569419,38.481068,670.7091
4.4,19.8,6.6,8.747514,12.725689,50.517303,768.8215,3.3,13.2,3.3,8.449034,11.809041,45.294098,747.3097,3.3,15.400001,6.6,9.068865,13.701884,57.527428,783.3027,4.95,19.8,2.2,8.046875,10.568891,38.478016,670.6316
4.3978086,19.79014,6.5967135,8.746938,12.7239275,50.505974,768.7886,3.2983568,13.193426,3.2983568,8.44863,11.807796,45.2874,747.2703,3.2983568,15.392331,6.5967135,9.06809,13.699543,57.50821,783.2745,4.9475346,19.79014,2.1989043,8.046696,10.568351,38.4749,670.55237
4.391259,19.760666,6.5868883,8.746354,12.722143,50.494507,768.75525,3.2934442,13.173777,3.2934442,8.448221,11.806533,45.280617,747.2304,3.2934442,15.369406,6.5868883,9.067306,13.697173,57.48876,783.24585,4.9401665,19.760666,2.1956296,8.046514,10.567803,38.471745,670.47205
4.3804226,19.7119,6.570634,8.745768,12.720351,50.482986,768.72174,3.285317,13.141268,3.285317,8.44781,11.805264,45.2738,747.19025,3.285317,15.33148,6.570634,9.066518,13.694793,57.469246,783.2171,4.927975,19.7119,2.1902113,8.04633,10.567254,38.46857,670.3912
4.3654184,19.64438,6.548127,8.745183,12.718564,50.471508,768.68835,3.2740636,13.096254,3.2740636,8.447401,11.804001,45.26701,747.1502,3.2740636,15.278964,6.548127,9.065733,13.692421,57.44981,783.1885,4.9110956,19.64438,2.1827092,8.046147,10.566707,38.46541,670.3104
4.3464103,19.558846,6.519615,8.744605,12.716798,50.460163,768.6553,3.2598076,13.03923,3.2598076,8.446997,11.802751,45.260292,747.1106,3.2598076,15.212435,6.519615,9.064957,13.690076,57.43061,783.1601,4.8897114,19.558846,2.1732051,8.045967,10.566164,38.46228,670.23047
4.323607,19.456232,6.48541,8.744039,12.715066,50.449047,768.6228,3.242705,12.970819,3.242705,8.446599,11.801524,45.253708,747.07166,3.242705,15.132624,6.48541,9.064196,13.687777,57.4118,783.13226,4.864058,19.456232,2.1618035,8.04579,10.565633,38.45921,670.1519
4.297258,19.33766,6.4458866,8.743488,12.713383,50.438248,768.59125,3.2229433,12.891773,3.2229433,8.446214,11.800332,45.24731,747.0339,3.2229433,15.040404,6.4458866,9.063457,13.685543,57.393536,783.1052,4.834415,19.33766,2.148629,8.045617,10.565116,38.456223,670.0755
4.2676525,19.204435,6.4014783,8.742958,12.711762,50.427856,768.56085,3.2007391,12.802957,3.2007391,8.445842,11.799186,45.241154,746.99744,3.2007391,14.936783,6.4014783,9.062745,13.6833935,57.375973,783.07916,4.801109,19.204435,2.1338263,8.045451,10.564618,38.45335,670.0018
4.235114,19.058014,6.352671,8.742454,12.71022,50.41797,768.5319,3.1763356,12.705342,3.1763356,8.445488,11.798094,45.235294,746.9627,3.1763356,14.822899,6.352671,9.062068,13.681348,57.35927,783.0543,4.7645035,19.058014,2.117557,8.045294,10.564144,38.45061,669.93146
4.2,18.9,6.3,8.74198,12.708771,50.40868,768.50464,3.15,12.6,3.15,8.445156,11.797067,45.229782,746.93005,3.15,14.700001,6.3,9.061432,13.679426,57.34358,783.031,4.725,18.9,2.1,8.045145,10.563698,38.448036,669.8653
4.1626945,18.732124,6.2440424,8.741541,12.707429,50.400074,768.47943,3.1220212,12.488084,3.1220212,8.444847,11.796115,45.224678,746.8998,3.1220212,14.56943,6.2440424,9.0608425,13.677646,57.329056,783.00934,4.683031,18.732124,2.0813472,8.045007,10.563284,38.445644,669.80383
4.1236067,18.55623,6.18541,8.741141,12.706207,50.39225,768.4564,3.0927052,12.37082,3.0927052,8.444567,11.795249,45.220036,746.8722,3.0927052,14.432623,6.18541,9.060307,13.676026,57.315857,782.9897,4.639058,18.55623,2.0618033,8.044882,10.562907,38.44347,669.74786
